Unnamed: 0,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_ident,AcidoCitrico_raiz4,Azucar_ident,CloruroSodico_ident,Densidad_cuarta,pH_ident,Sulfatos_cuarta,Alcohol_sqr,CalifProductor_ident,PrecioBotella_log,aleatorio_cuarta,aleatorio2_log,Compra
14,0.35,0.67,4.2,0.333,0.98345,3.19,1.7,6.2,3,2.52,B,Desc,2,0.0,0.500577801,0.867070646,3.117773563,1.366865739,3.050781687,4.003773773,51.31088569,3.06405549,352.6201534,3.130624549,2.279913779,0.026658904,9.019485257,1.097259941,1
15,0.17,0.34,15.6,0.044,0.99752,3.06,3.38,9.1,2,1.05,R,**,2,0.0,0.339714699,0.3408359,2.883948046,1.326781922,3.391740229,3.082546288,108.0879817,2.867841592,1425.248278,6.743956304,1.519975853,-3.384925136,1.913272655,0.163544514,1
16,-2.05,0.27,13.2,0.036,0.99408,1.95,0.02,13.0,2,2.1,B,****,2,0.0,0.169408064,0.194629431,0.0001,1.31779527,3.319959483,3.057045181,91.21283137,1.192476767,40.4850918,13.76285814,1.519975853,-0.296704074,0.118339908,-0.396754392,1
17,-0.28,-1.2,16.2,0.048,0.9972,3.3,0.52,2.1,1,1.26,R,Desc,2,7.692307692,0.241996012,0.552187702,2.299384253,1.061672102,3.409685415,3.095296842,106.4265697,3.230082635,87.84012279,0.359237806,0.760037926,-1.738653323,0.492700074,0.646028952,0
18,1.17,-0.09,1.5,0.027,0.99,3.3,0.33,12.5,3,1.56,R,**,3,0.0,0.675443556,0.360017293,4.182978697,1.268394158,2.970028349,3.028356436,73.8514325,3.230082635,66.58971225,12.72456344,2.279913779,-0.971703021,29.8977484,0.218295107,1
19,1.035,-1.11,6.0,0.073,1.03291,3.37,0.39,9.9,5,1.31,B,Desc,2,7.692307692,0.408746449,0.184712194,4.007609559,1.083323827,3.104617247,3.174987801,448.7719311,3.335736273,72.82818044,7.981778092,3.799789632,-1.56285443,4.009800966,-0.449052279,0
20,1.65,-2.27,9.2,-0.002,0.9893,3.04,3.25,9.7,3,3.2,R,*,3,7.692307692,0.905520293,0.274235837,4.806513409,0.1,3.200324907,2.935914924,71.14237972,2.837654838,1299.608499,7.662550728,2.279913779,0.396375833,96.57515156,-0.053866603,1
21,0.47,0.3,41.7,-0.058,0.9976,1.33,1.11,9.4,4,3.28,R,Desc,1,7.692307692,0.955698034,0.990678025,3.273657241,1.321669153,4.172355837,2.757407176,108.5063564,0.256687406,186.8900987,7.195924578,3.039851705,0.432091555,119.8267946,1.230528752,0
22,0.34,0.46,4.7,0.029,1.00111,1.42,1.74,17.3,2,3.91,B,**,2,0.0,0.668874328,0.453298682,3.104783256,1.341775712,3.065736009,3.034731713,128.0903572,0.392527797,366.8653179,24.37296224,1.519975853,0.67605514,28.75151368,0.44869304,1
23,0.14,-1.03,7.9,-0.379,1.0241,3.26,-0.38,13.7,2,2.37,B,**,2,0.0,0.67893346,0.471503935,2.844977126,1.10153604,3.16144367,1.734175265,329.1892405,3.169709128,19.1272625,15.28487414,1.519975853,-0.07723003,30.52044701,0.488069049,1
24,1.75,0.36,52.3,0.075,1.02917,3.34,1.85,13.5,4,1.64,MM,*,3,0.0,0.292833713,0.486814748,4.936416474,1.329316297,4.489387463,3.181363077,394.6048085,3.290456142,408.268333,14.84186916,3.039851705,-0.83820466,1.056369402,0.520025113,1
25,0.36,0.5,-38.8,-0.291,1.00091,3.87,0.45,8.8,2,3.81,R,*,2,0.0,0.883012932,0.156328872,3.130763869,1.346663715,1.764709996,2.01468744,126.9082095,4.090405113,79.49504952,6.306645904,1.519975853,0.641088352,87.32560857,-0.615887093,1
26,0.19,0.26,54.0,0.039,0.98998,3.32,0.33,12.1,1,2.9,R,**,1,7.692307692,0.360079394,0.513741043,2.909928659,1.316496351,4.540232158,3.066608097,73.77297417,3.260269389,66.58971225,11.92324344,0.760037926,0.249782981,2.414951121,0.573860551,1
27,0.24,2.32,1.4,-0.356,1.03659,3.11,0.39,9.9,2,2.14,M,*,1,0.0,0.250704405,0.075192336,2.974880191,1.527886447,2.967037484,1.807490947,507.3332174,2.943308476,72.82818044,7.981778092,1.519975853,-0.260990712,0.56753676,-1.347784603,0
28,0.36,0.26,13.2,0.051,0.9976,3.0,1.62,10.8,2,1.28,B,*,1,0.0,0.346774128,0.045291955,3.130763869,1.316496351,3.319959483,3.104859757,108.5063564,2.777281331,325.3783249,9.498919544,1.519975853,-1.664585992,2.077326386,-1.854685281,1
29,1.63,1.0,1.9,0.846,0.96939,2.28,0.52,4.0,9,3.23,B,Desc,3,7.692307692,0.735339763,0.765075161,4.780532796,1.403704362,2.981991806,5.639032248,20.53866035,1.690558201,87.84012279,1.303150544,6.839541337,0.409919153,41.99826636,0.972113899,0
30,0.42,0.32,2.5,0.601,0.99639,3.32,1.99,15.6,4,1.6,R,Desc,1,0.0,0.827405309,0.139154721,3.208705708,1.32423294,2.999936993,4.858060851,102.3067114,3.260269389,465.9177982,19.81833765,3.039851705,-0.902727766,67.32068376,-0.732260893,0
31,0.28,0.64,-47.1,0.512,0.9972,3.98,-1.06,9.2,3,1.0,B,**,2,0.0,0.098517009,0.766278316,3.026841417,1.363365514,1.51646825,4.574361038,106.4265697,4.256432257,3.403869554,6.892983742,2.279913779,-9.210340372,0.013537797,0.973685257,1
32,0.28,0.35,2.1,1.027,0.95511,3.26,2.14,9.2,2,1.32,M,Desc,3,0.0,0.242237204,0.513818634,3.026841417,1.328050923,2.987973535,6.21599479,6.117693568,3.169709128,534.2424553,6.892983742,1.519975853,-1.531120646,0.494667147,0.574011572,1
33,0.44,0.22,4.3,-0.923,1.02618,3.26,0.53,18.9,2,1.31,M,*,1,7.692307692,0.440509964,0.469453637,3.234686321,1.311261844,3.053772552,0.0001,354.9541953,3.169709128,89.08381656,29.08963207,1.519975853,-1.56285443,5.409103551,0.483711168,1
34,0.23,0.42,-3.8,0.094,0.99699,3.49,0.9,11.5,2,1.0,M,*,1,7.692307692,0.619176231,0.142531548,2.961889885,1.336833698,2.811512535,3.241928206,105.3467264,3.516856794,145.1564586,10.77012301,1.519975853,-9.210340372,21.11265081,-0.708284313,1
35,0.19,0.41,-36.7,0.046,0.9954,3.14,1.65,9.8,2,3.32,M,*,1,0.0,0.671116946,0.04516297,2.909928659,1.33558959,1.827518148,3.088921565,97.43511916,2.988588606,335.4018468,7.821350084,1.519975853,0.449482179,29.13904371,-1.857537047,1
36,-0.68,2.9,-11.4,0.056,0.99755,4.12,-0.34,9.7,1,1.86,MM,Desc,3,0.0,0.049027881,0.455557633,1.779771992,1.574020265,2.584206841,3.120797949,108.2447302,4.467739533,20.75415144,7.662550728,0.760037926,-0.542799598,0.000830877,0.453664002,0
37,-0.06,-1.57,-41.4,-0.243,0.99977,2.51,0.49,16.7,3,5.42,R,***,3,7.692307692,0.418516012,0.515614626,2.585170996,0.954824355,1.686947521,2.167694081,120.3254398,2.037705868,84.18708252,22.71170214,2.279913779,1.094024378,4.40710808,0.577500843,1
38,0.54,0.03,48.9,0.094,0.9982,4.0,0.8,9.2,5,1.13,M,*,1,0.0,0.860927718,0.662575223,3.364589386,1.285499316,4.387698074,3.241928206,111.6830053,4.286619011,127.9478103,6.892983742,3.799789632,-2.431231698,78.91160316,0.828274359,2
39,0.24,0.06,1.8,0.88,0.97646,4.22,-1.11,12.2,2,3.1,MM,*,3,0.0,0.32069012,0.905235453,2.974880191,1.28967066,2.979000942,5.747411952,33.40945302,4.6186733,2.894926182,12.12113046,1.519975853,0.349859021,1.519379566,1.140334456,2
40,0.24,0.84,6.4,0.048,0.9944,2.46,0.55,10.5,2,2.17,B,****,3,0.0,0.551674935,0.231289415,2.974880191,1.386209761,3.116580704,3.095296842,92.69306771,1.962238984,91.61077724,8.978547851,1.519975853,-0.235018555,13.30527036,-0.22418377,2
41,0.17,0.3,56.0,0.034,0.99152,3.55,0.49,5.7,2,1.49,M,***,2,0.0,0.844686444,0.122967461,2.883948046,1.321669153,4.600049446,3.050669905,79.99977343,3.607417055,84.18708252,2.646071804,1.519975853,-1.105196665,73.12346683,-0.855925463,1
42,0.24,-1.0,43.6,0.043,1.03256,4.02,0.07,10.1,2,1.35,B,***,2,0.0,0.456818099,0.113438431,2.974880191,1.108138504,4.229182261,3.07935865,443.4793129,4.316805765,44.0577041,8.307520067,1.519975853,-1.441548116,6.255665164,-0.936583504,1
43,2.73,0.33,-16.8,0.036,0.99082,4.14,0.58,16.9,2,1.32,R,***,3,7.692307692,0.464939316,0.508124453,6.209466512,1.325509269,2.422700164,3.057045181,77.12247482,4.497926286,95.50154369,23.25894089,1.519975853,-1.531120646,6.712501546,0.562867672,1
44,-0.46,-0.09,3.3,0.096,1.00573,3.6,1.18,18.2,4,2.65,R,*,2,0.0,0.211725235,0.28458304,2.065558735,1.268394158,3.023863908,3.248303483,157.7707847,3.682883939,202.6194122,26.97478646,3.039851705,0.108716186,0.288705688,-0.016830254,1
45,1.45,-1.04,1.6,0.045,0.99534,4.19,-1.09,6.9,5,2.0,R,Desc,1,0.0,0.351545349,0.7382058,4.546707279,1.099308604,2.973019213,3.085733927,97.14557398,4.57339317,3.091108811,3.87740181,3.799789632,-0.3920008,2.194029239,0.936362572,1
46,0.04,-0.22,-9.7,0.628,0.99413,3.04,0.29,11.0,4,4.63,M,Desc,3,7.692307692,0.654194912,0.611040526,2.715074061,1.249047173,2.635051536,4.944127087,91.44294132,2.837654838,62.65945365,9.853977269,3.039851705,0.897124618,26.30947037,0.747303826,0
47,-0.88,0.26,6.8,0.298,0.96461,2.35,0.32,5.6,1,1.39,R,Desc,1,7.692307692,0.43746672,0.59273942,1.519965862,1.316496351,3.128544162,3.89220643,14.24318787,1.796211839,65.59029441,2.554047213,0.760037926,-1.333377889,5.261176021,0.716895529,1
48,0.19,-0.65,12.8,0.053,0.99778,4.02,1.89,2.7,3,3.66,MB,***,2,0.0,0.810818571,0.017777169,2.909928659,1.177661055,3.307996026,3.111235034,109.4521395,4.316805765,424.1597865,0.593798053,2.279913779,0.586232961,62.08271249,-2.789824888,1
49,0.845,0.01,-25.6,0.172,1.00888,3.32,0.5,11.0,4,1.46,B,*,1,0.0,0.531790895,0.833298525,3.760793735,1.282695696,2.159504096,3.490563998,180.7759588,3.260269389,85.39184747,9.853977269,3.039851705,-1.168355873,11.48830641,1.057531537,1
50,0.18,0.31,32.1,0.216,0.96244,3.84,-0.21,10.8,3,1.95,M,***,2,0.0,0.829589025,0.954578985,2.896938352,1.32295291,3.885232855,3.630820085,11.92183637,4.045124982,26.76510965,9.498919544,2.279913779,-0.443286305,68.03418967,1.193409642,1
51,-0.83,-0.43,2.4,-0.137,0.992,3.25,0.17,10.4,1,2.09,M,Desc,1,0.0,0.25860785,0.78142561,1.584917394,1.215752974,2.996946128,2.505583746,82.01879318,3.154615751,51.90688158,8.808347926,0.760037926,-0.305835324,0.642554322,0.993259718,1
52,0.43,0.35,21.3,0.489,0.95018,3.37,0.5,14.7,2,1.98,B,*,1,0.0,0.089303369,0.884187931,3.221696015,1.328050923,3.5622195,4.501045356,3.634149427,3.335736273,85.39184747,17.59761819,1.519975853,-0.412200487,0.009141157,1.116809066,1
53,0.24,0.31,13.1,0.05,0.94955,3.05,0.53,10.4,3,2.02,M,Desc,3,0.0,0.090631616,0.062710261,2.974880191,1.32295291,3.316968619,3.101672118,3.382635216,2.852748215,89.08381656,8.808347926,2.279913779,-0.372201075,0.009697159,-1.529303036,1
54,0.785,0.77,-5.5,-0.541,0.98981,3.85,-0.65,11.1,0,1.13,M,***,2,0.0,0.635775718,0.224026523,3.682851896,1.378343044,2.760667841,1.217777851,73.10859966,4.060218359,10.50328653,10.03394911,0.0001,-2.431231698,23.46931074,-0.256088817,1
55,0.15,1.42,38.4,0.038,1.00899,4.72,0.43,12.6,3,4.02,R,**,3,0.0,0.248398363,0.459012919,2.857967433,1.446754975,4.073657312,3.063420458,181.6222547,5.37334214,77.22398457,12.92896508,2.279913779,0.713157037,0.54694291,0.461220085,1
56,-0.2,1.73,2.0,0.124,0.99516,2.69,0.8,16.0,5,2.89,R,Desc,3,7.692307692,0.121684157,0.936103586,2.403306705,1.476227185,2.984982671,3.337557357,96.28080942,2.30938665,127.9478103,20.84766905,3.799789632,0.244506336,0.031505765,1.173865437,0
57,-0.5,0.42,37.1,0.028,0.97409,4.34,2.36,11.3,2,2.03,M,**,1,7.692307692,0.676471564,0.234126364,2.013597509,1.336833698,4.034776075,3.031544075,28.5668735,4.799793822,647.7101108,10.39877875,1.519975853,-0.362446308,30.08017495,-0.211992702,1
58,-0.42,1.75,3.85,0.546,0.95709,2.05,1.91,11.8,3,4.09,M,Desc,2,0.0,0.528373342,0.990971644,2.117519961,1.478068981,3.040313662,4.682740742,7.408684554,1.343410535,432.2772669,11.33935428,2.279913779,0.736070186,11.19583073,1.230825089,1
59,1.4,1.64,15.8,0.057,1.02858,2.02,1.72,9.2,2,1.8,M,***,2,0.0,0.436712151,0.426079619,4.481755746,1.467852588,3.397721958,3.123985587,386.5300994,1.298130405,359.6898475,6.892983742,1.519975853,-0.615107354,5.224971865,0.386768325,1
60,0.72,0.51,6.3,-0.083,0.95501,3.71,1.03,11.4,3,2.75,R,**,1,0.0,0.273829795,0.404779605,3.598414904,1.347877436,3.11358984,2.677716217,6.057320913,3.848911084,170.0552967,10.58363655,2.279913779,0.16755156,0.807719117,0.335485102,1
61,1.04,0.19,43.3,0.05,1.01533,3.09,2.89,11.5,3,1.14,M,Desc,1,0.0,0.611200162,0.538550712,4.014104712,1.307294424,4.220209668,3.101672118,235.6395918,2.913121722,994.8203358,10.77012301,2.279913779,-2.357204964,20.04564529,0.621022689,1
62,0.19,1.1,11.2,0.061,0.97994,2.99,-0.38,9.3,3,1.56,R,**,2,0.0,0.339504676,0.570735133,2.909928659,1.414314857,3.260142195,3.13673614,41.60420258,2.762187954,19.1272625,7.043639834,2.279913779,-0.971703021,1.908545851,0.679066031,1
63,1.7,-1.03,3.4,0.048,0.9944,4.25,0.41,9.4,3,1.0,R,**,2,0.0,0.018401276,0.941981889,4.871464942,1.10153604,3.026854772,3.095296842,92.69306771,4.663953431,75.00193164,7.195924578,2.279913779,-9.210340372,1.65e-05,1.180125332,0
64,0.47,-0.86,-58.1,0.174,0.99514,1.8,0.61,10.9,3,2.75,M,Desc,2,7.692307692,0.356747753,0.007307931,3.273657241,1.137488929,1.187473167,3.496939274,96.18508212,0.966076115,99.51494617,9.67563408,2.279913779,0.16755156,2.326809957,-3.67860323,0
65,0.22,1.22,-50.4,0.26,1.03038,2.62,2.1,11.0,1,3.01,M,Desc,2,0.0,0.50835718,0.018555423,2.948899578,1.426740179,1.417769725,3.771076173,411.5599608,2.203733013,515.3334903,9.853977269,0.760037926,0.306059554,9.593354204,-2.746982933,0
66,0.39,0.1,1.7,0.075,0.99581,3.09,0.43,9.7,4,5.21,M,Desc,3,0.0,0.346090964,0.979723867,3.169734789,1.295170249,2.976010077,3.181363077,99.43103803,2.913121722,77.22398457,7.662550728,3.039851705,1.045349,2.061005592,1.219409957,0
67,0.22,1.87,59.8,0.037,1.03646,4.23,0.42,8.7,2,1.0,B,**,3,7.692307692,0.971952643,0.858984633,2.948899578,1.488977753,4.713702293,3.06023282,505.1718365,4.633766677,76.10687611,6.164133077,1.519975853,-9.210340372,128.1891138,1.08789054,2
68,-0.73,1.41,4.0,0.595,0.99787,3.47,-0.53,11.1,5,1.0,B,**,1,16.66666667,0.417750524,0.646887634,1.71482046,1.445773814,3.044799959,4.838935021,109.927343,3.486670041,13.86324771,10.03394911,3.799789632,-9.210340372,4.374954253,0.80431295,2
69,0.29,0.38,1.2,-0.65,1.03069,3.28,0.36,18.2,1,1.3,M,**,2,0.0,0.717572436,0.766398298,3.039831724,1.331836258,2.961055755,0.870325271,415.9903848,3.199895881,69.65657842,26.97478646,0.760037926,-1.595628345,38.08403981,0.973841822,1
70,0.38,0.26,13.7,0.035,0.97228,3.18,0.47,13.6,2,1.27,M,Desc,2,7.692307692,0.518186949,0.868135522,3.156744482,1.316496351,3.334913805,3.053857543,25.23892294,3.048962113,81.81584196,15.06255732,1.519975853,-1.700934068,10.35713326,1.098487314,1
71,1.25,1.3,35.15,0.031,0.99296,3.92,-1.05,5.3,2,3.95,MM,**,1,0.0,0.124261353,0.574607126,4.286901149,1.43484679,3.976454219,3.04110699,86.1712392,4.165871997,3.513214,2.287745358,1.519975853,0.689706539,0.034260512,0.685827317,1
72,2.01,1.18,-38.7,-0.286,1.00364,2.53,0.74,17.4,4,1.0,B,Desc,1,0.0,0.198921496,0.313828146,5.274164444,1.422634509,1.76770086,2.030625631,143.7687873,2.067892621,118.3862326,24.65553921,3.039851705,-9.210340372,0.224956973,0.080989465,1
73,0.52,0.36,1.5,0.236,0.98976,4.31,1.29,18.3,1,1.04,R,***,1,7.692307692,0.74032343,0.690772404,3.338608773,1.329316297,2.970028349,3.694572852,72.91405223,4.754513692,229.3170141,27.2720213,0.760037926,-3.607331064,43.14842072,0.869950526,1
74,0.25,0.28,7.7,0.871,1.045,1.85,1.25,9.4,2,3.49,R,***,3,7.692307692,0.712787177,0.663131865,2.987870498,1.319090359,3.155461941,5.718723207,662.5579858,1.041542999,219.321312,7.195924578,1.519975853,0.520193348,37.07829624,0.829114122,1
75,1.19,-0.09,2.2,0.219,0.99486,3.31,0.75,12.6,5,2.21,M,Desc,3,0.0,0.281857935,0.773831755,4.20895931,1.268394158,2.990964399,3.640383,94.85238086,3.245176012,119.9413202,12.92896508,3.799789632,-0.201406126,0.906684031,0.983494267,0
76,-0.93,0.53,-47.9,-0.024,1.00314,2.94,0.35,9.4,2,1.62,M,Desc,3,7.692307692,0.831981026,0.723952721,1.455014329,1.35029509,1.492541335,2.86578688,140.562028,2.68672107,68.62276806,7.195924578,1.519975853,-0.869945899,68.82224306,0.916866071,1
77,0.24,1.27,10.3,0.18,0.96793,3.29,0.39,8.1,4,3.49,R,Desc,3,16.66666667,0.059708881,0.087116415,2.974880191,1.431822931,3.233224416,3.516065104,18.43072301,3.214989258,72.82818044,5.34325782,3.039851705,0.520193348,0.001827372,-1.200592576,1
78,2.73,1.59,4.9,0.028,0.9922,3.68,0.49,16.8,1,1.99,M,****,1,0.0,0.874156251,0.676621069,6.209466512,1.463137395,3.071717738,3.031544075,82.87123302,3.803630953,84.18708252,22.98450719,0.760037926,-0.402049641,83.87449692,0.84925159,1
79,-0.74,0.15,1.1,0.414,0.97401,2.77,0.4,11.4,1,2.88,R,**,2,0.0,0.872551739,0.227388963,1.701830153,1.301947689,2.958064891,4.261972479,28.41319185,2.430133665,73.90906251,10.58363655,0.760037926,0.239201701,83.26039464,-0.241191367,1
80,0.93,-0.62,1.9,0.08,1.02107,3.13,0.55,9.5,6,1.37,B,Desc,1,0.0,0.83123644,0.493980756,3.87121134,1.183075452,2.981991806,3.197301269,294.1985781,2.973495229,91.61077724,7.349837975,4.559727558,-1.386001115,68.57620666,0.534637953,0
81,0.38,1.51,73.7,-0.271,1.01893,4.02,1.98,12.1,3,1.92,R,***,3,0.0,0.303538503,0.032707085,3.156744482,1.455496897,5.129432445,2.078440207,271.22248,4.316805765,461.6088532,11.92324344,2.279913779,-0.47536954,1.219505044,-2.180204361,1
82,0.63,0.32,6.4,0.034,0.9924,3.23,-0.25,11.8,3,4.54,R,Desc,1,0.0,0.730518772,0.668527697,3.481502145,1.32423294,3.116580704,3.050669905,83.73030037,3.124428997,24.79259942,11.33935428,2.279913779,0.872019734,40.90768562,0.837218062,1
83,0.13,1.27,-15.1,0.04,0.9955,4.23,0.41,9.0,3,1.91,M,**,2,0.0,0.110404671,0.037799483,2.831986819,1.431822931,2.473544858,3.069795735,97.9191322,4.633766677,75.00193164,6.596557518,2.279913779,-0.486296843,0.021351336,-2.035509696,1
84,0.065,0.1,13.0,0.228,0.99741,3.1,0.5,3.2,3,1.54,B,*,3,0.0,0.255359571,0.26704462,2.747549827,1.295170249,3.313977755,3.669071745,107.5146933,2.928215099,85.39184747,0.834052878,2.279913779,-1.008060879,0.61087569,-0.080439082,0
85,0.34,-0.95,-21.0,0.028,0.98958,3.2,1.77,13.2,3,4.52,M,Desc,1,0.0,0.681036205,0.493837708,3.104783256,1.118887251,2.297083859,3.031544075,72.21689485,3.079148867,377.829152,14.18957659,2.279913779,0.866354234,30.90030202,0.53434833,1
86,0.53,0.38,-40.3,0.047,0.99062,2.88,0.6,18.3,4,2.54,B,***,1,7.692307692,0.405505851,0.017847098,3.35159908,1.331836258,1.71984703,3.092109203,76.31483803,2.596160809,98.16336223,27.2720213,3.039851705,0.039729721,3.884148664,-2.785899443,1
87,1.21,0.34,7.8,-0.399,0.97462,3.21,-0.75,17.5,3,1.19,M,*,2,0.0,0.315081989,0.575908014,4.234939923,1.326781922,3.158452806,1.670422497,29.60081917,3.094242244,8.204726041,24.93974483,2.279913779,-2.052101284,1.41585797,0.68808871,1
88,-0.72,0.15,45.3,0.012,0.99609,2.95,0.38,13.7,3,5.53,R,****,3,16.66666667,0.916931645,0.283937726,1.727810766,1.301947689,4.280026956,2.980541861,100.8116176,2.701814447,71.75919745,15.28487414,2.279913779,1.118605809,101.5360217,-0.01910039,1
89,0.19,0.29,-51.1,0.042,0.99304,3.99,-0.75,10.3,2,1.88,B,***,3,0.0,0.115565031,0.595608069,2.909928659,1.320381644,1.396833675,3.076171012,86.52425231,4.271525634,8.204726041,8.639776654,1.519975853,-0.519813991,0.025631305,0.721723484,1
90,1.53,0.32,1.1,0.115,0.99096,2.25,-0.81,8.9,2,2.25,R,Desc,2,0.0,0.156778288,0.819904841,4.650629731,1.32423294,2.958064891,3.308868611,77.69162271,1.645278071,7.020650318,6.450787384,1.519975853,-0.168886848,0.08680619,1.041327915,1
91,0.16,0.32,-44.9,0.04,1.0458,3.27,0.96,10.0,3,2.43,M,**,2,0.0,0.619667088,0.623372844,2.870957739,1.32423294,1.582267267,3.069795735,678.9835132,3.184802505,156.2814157,8.143834753,2.279913779,-0.034370858,21.17967787,0.767285276,1
92,-0.56,0.42,2.3,-0.139,0.9972,4.15,-0.65,10.9,3,2.11,M,**,1,0.0,0.994746015,0.879607103,1.93565567,1.336833698,2.993955264,2.49920847,106.4265697,4.513019663,10.50328653,9.67563408,2.279913779,-0.287655451,140.6432707,1.111614782,1
93,-2.05,-0.24,1.5,-0.415,0.99238,4.05,-0.01,14.5,2,1.77,M,Desc,1,0.0,0.594295241,0.853964619,0.0001,1.245989633,2.970028349,1.619420284,83.64409442,4.362085895,38.4485984,17.12204016,1.519975853,-0.653321359,17.91828309,1.082029285,1
94,0.91,-2.16,88.1,0.036,1.04541,3.47,-0.66,9.1,2,2.33,M,Desc,2,0.0,0.6118035,0.818521078,3.845230727,0.601266753,5.560116918,3.057045181,670.9383805,3.486670041,10.25397518,6.743956304,1.519975853,-0.106858579,20.1249118,1.039638781,1
95,0.27,1.26,10.7,-0.432,0.99669,3.13,0.48,16.8,5,2.67,M,**,2,0.0,0.667112987,0.427925257,3.013851111,1.430810708,3.245187873,1.565230432,103.8183737,2.973495229,82.99511098,22.98450719,3.799789632,0.12076345,28.44986995,0.391090622,1
